county,lat,lon,pop
Appling,31.7632088,-82.420582,18368
Atkinson,31.2975054,-82.8710331,8284
Bacon,31.5480169,-82.43403,11198
Baker,31.3455552,-84.4812548,3366
Baldwin,33.0581947,-83.3767553,46367
Banks,34.3359133,-83.5336091,18316
Barrow,34.0109181,-83.8433347,70169
Bartow,34.2440988,-84.985769,100661
Ben Hill,31.7220409,-83.3197009,17538
Berrien,31.2075802,-83.2828336,19041
Bibb,32.8066395,-83.8313174,156462
Bleckley,32.4450373,-83.3216414,12913
Brantley,31.2089482,-81.9996745,18587
Brooks,30.8201276,-83.6967418,15403
Bryan,31.9384847,-81.3366541,32214
Bulloch,32.436937,-81.839803,72694
Burke,33.0949232,-82.0493385,23125
Butts,33.2876561,-84.008061,23524
Calhoun,31.5374798,-84.6143248,6504
Camden,30.9572853,-81.7273897,51402
Candler,32.3937981,-82.0966585,11117
Carroll,33.5865758,-85.1703404,111580
Catoosa,34.9113369,-85.1771685,65046
Charlton,30.7152281,-82.4366806,13295
Chatham,31.9710868,-81.351756,276434
Chattahoochee,32.3778761,-84.9477857,13037
Chattooga,34.4742654,-85.3830821,25725
Cherokee,33.5005916,-84.4914783,221315
Clarke,33.9441951,-83.5292082,120266
Clay,31.5935371,-84.9543791,3116
Clayton,33.5212021,-84.4283069,26588
Clinch,31.0413982,-82.770748,6718
Cobb,33.9123906,-84.6972676,707442
Coffee,31.5118862,-82.8942771,43170
Colquitt,31.148152,-83.8272431,46137
Columbia,33.5275606,-82.3756279,131627
Cook,31.1675224,-83.4587171,16923
Coweta,33.3513219,-84.8962861,130929
Crawford,32.7197317,-84.0190168,12600
Crisp,31.9169717,-83.9254823,23606
Dade,34.8756058,-85.5463536,16490
Dawson,34.4758874,-84.2918991,22422
Decatur,30.9053732,-84.6063261,27509
Dekalb,33.7927093,-84.3270543,707089
Dodge,32.1889054,-83.2835786,21329
Dooly,32.1523132,-83.8192581,14318
Dougherty,31.5429887,-84.3597205,94501
Douglas,33.689703,-84.8846812,133971
Early,31.3765383,-84.9587256,10594
Echols,30.7421557,-82.9272262,3988
Effingham,32.3453413,-81.6139433,53293
Elbert,34.103443,-82.9103666,19684
Emanuel,32.5730671,-82.404137,22898
Evans,32.1617191,-81.9174632,10689
Fannin,34.8670726,-84.3366946,23492
Fayette,33.4036378,-84.6445108,107524
Floyd,34.2748096,-85.265634,96177
Forsyth,34.1927884,-84.2323435,187929
Franklin,34.3757117,-83.2478296,21894
Fulton,33.8109499,-84.7310481,1041423
Gilmer,34.6879469,-84.5081626,28190
Glascock,33.2339586,-82.6065612,3142
Glynn,31.2215288,-81.7627215,81022
Gordon,34.509082,-85.0184651,55766
Grady,30.8768572,-84.2385266,25440
Greene,33.564243,-83.213461,16092
Gwinnett,33.9600231,-84.3181545,842046
Habersham,34.6086982,-83.5456091,43520
Hall,34.3058696,-84.1192568,185416
Hancock,33.2769957,-82.9894837,8996
Haralson,33.8053808,-85.1845181,28400
Harris,32.7873585,-84.9045071,32550
Hart,34.3556591,-82.996122,25518
