county,case,deaths,lat,lon
Fulton,463,14,33.8109499,-84.7310481
Dekalb,281,3,33.7927093,-84.3270543
Dougherty,267,17,31.5429887,-84.3597205
Cobb,245,9,33.9123906,-84.6972676
Gwinnett,158,1,33.9600231,-84.3181545
Bartow,121,1,34.2440988,-84.985769
Carroll,81,0,33.5865758,-85.1703404
Cherokee,61,1,33.5005916,-84.4914783
Clayton,61,1,34.2428643,-84.5984981
Henry,58,2,33.4724802,-84.2785358
Lee,44,6,31.7689938,-84.2706385
Clarke,41,5,33.9441951,-83.5292082
Douglas,39,1,33.689703,-84.8846812
Hall,34,0,34.3058696,-84.1192568
Forsyth,33,1,34.1927884,-84.2323435
Fayette,32,3,33.4036378,-84.6445108
Coweta,28,2,33.3513219,-84.8962861
Floyd,28,2,34.2748096,-85.265634
Paulding,24,0,33.9286041,-85.0268587
Lowndes,20,1,30.8276641,-83.5322856
Tift,19,0,31.4620157,-83.6427911
Newton,18,0,33.5556431,-84.0049802
Rockdale,18,1,33.6558755,-84.1887723
Chatham,16,0,31.9710868,-81.351756
Early,16,1,31.3765383,-84.9587256
Houston,16,1,32.4870656,-83.9498473
Sumter,16,1,32.0771487,-84.2578416
Bibb,15,0,32.8066395,-83.8313174
Gordon,15,1,34.509082,-85.0184651
Mitchell,15,0,31.2498763,-84.2432471
Richmond,13,0,33.3859619,-82.2310033
Columbia,12,0,33.5275606,-82.3756279
Laurens,12,0,32.4502041,-82.9615426
Muscogee,12,0,32.4740307,-84.9775752
Polk,12,0,33.9998606,-85.3123828
Spalding,12,0,33.2655664,-84.4391162
Terrell,12,2,31.7941452,-84.5708394
Oconee,11,0,33.8320577,-83.6015497
Troup,11,1,33.0366656,-85.098747
Worth,11,1,31.5836698,-84.1213062
Coffee,10,0,31.5118862,-82.8942771
Glynn,10,0,31.2215288,-81.7627215
Barrow,7,2,34.0109181,-83.8433347
Bryan,7,0,31.9384847,-81.3366541
Peach,7,1,32.5658912,-83.9996748
Thomas,7,0,30.8343417,-84.0114562
Whitfield,7,1,34.8017812,-85.1298821
Colquitt,6,0,31.148152,-83.8272431
Crisp,6,0,31.9169717,-83.9254823
Meriwether,6,0,33.0359618,-84.7321711
Pickens,6,1,34.4435055,-84.4995419
Butts,5,0,33.2876561,-84.008061
Calhoun,5,0,31.5374798,-84.6143248
Dawson,5,0,34.4758874,-84.2918991
Decatur,5,0,30.9053732,-84.6063261
Seminole,5,0,31.0403778,-84.8968852
Upson,5,0,32.8670541,-84.3459853
Ware,5,0,30.9258764,-82.652756
Burke,4,0,33.0949232,-82.0493385
Effingham,4,0,32.3453413,-81.6139433
Harris,4,0,32.7873585,-84.9045071
Lamar,4,0,33.0504451,-84.1869511
Liberty,4,0,31.8747992,-81.64466
Lumpkin,4,0,34.527836,-84.017919
Miller,4,0,31.1636817,-84.869848
Walton,4,0,33.7781427,-83.7941236
Baldwin,3,1,33.0581947,-83.3767553
Camden,3,0,30.9572853,-81.7273897
Catoosa,3,0,34.9113369,-85.1771685
Fannin,3,0,34.8670726,-84.3366946
Franklin,3,0,34.3757117,-83.2478296
Greene,3,0,33.564243,-83.213461
Haralson,3,0,33.8053808,-85.1845181
Irwin,3,0,31.6042318,-83.2849291
Lincoln,3,0,33.8105078,-82.5722137
Madison,3,0,34.1279503,-83.2381266
Monroe,3,0,33.0254067,-84.0551818
Murray,3,0,34.782174,-84.8306345
Pulaski,3,0,32.2484974,-83.4608698
Randolph,3,0,31.7751648,-84.8872959
Stephens,3,0,34.574081,-83.4216966
Turner,3,0,31.7097169,-83.7672869
Ben Hill,2,0,31.7220409,-83.3197009
Hart,2,0,34.3556591,-82.996122
Jackson,2,0,34.1222725,-83.6498217
Jasper,2,0,33.3069437,-83.7069025
Jones,2,0,32.9986012,-83.5811601
Pierce,2,0,31.297628,-82.3323931
Pike,2,0,32.0655552,-82.2023614
Tattnall,2,0,32.0655552,-82.2023614
Toombs,2,0,32.1715359,-82.3339669
Twiggs,2,0,32.6867147,-83.3595676
Washington,2,0,32.9842382,-82.8420655
Bacon,1,0,31.5480169,-82.43403
Baker,1,1,31.3455552,-84.4812548
Banks,1,0,"34.3359133,",-83.5336091
Berrien,1,0,31.2075802,-83.2828336
Brooks,1,0,30.8201276,-83.6967418
Bulloch,1,0,32.436937,-81.839803
Candler,1,0,32.3937981,-82.0966585
Charlton,1,0,30.7152281,-82.4366806
Chattahoochee,1,0,32.3778761,-84.9477857
Chattooga,1,0,34.4742654,-85.3830821
Clinch,1,0,31.0413982,-82.770748
Cook,1,0,31.1675224,-83.4587171
Dodge,1,0,32.1889054,-83.2835786
Dooly,1,0,32.1523132,-83.8192581
Gilmer,1,0,34.6879469,-84.5081626
Heard,1,1,33.2791778,-85.1161361
Jenkins,1,0,32.8086673,-81.9616381
Long,1,0,31.7764678,-82.0169041
Macon,1,0,32.3019958,-84.0433236
Mcduffie,1,0,33.4695855,-82.531416
Mcintosh,1,0,31.5333111,-81.4445574
Morgan,1,0,33.5806701,-83.5120246
Schley,1,0,32.2381915,-84.3265297
Taylor,1,0,32.5592902,-84.3821397
Warren,1,0,33.4064726,-82.682467
Wheeler,1,0,32.1463907,-82.7966186
White,1,0,34.6411092,-83.7623648
Wilkes,1,0,33.7637416,-82.8687134
Unknown,164,0,,
