county,cases,deaths,lat,lon
Fulton,712 ,22 ,33.8109499,-84.7310481
Dougherty,507 ,29 ,31.5429887,-84.3597205
Dekalb,396 ,6 ,33.7927093,-84.3270543
Cobb,329 ,17 ,33.9123906,-84.6972676
Gwinnett,282 ,6 ,33.9600231,-84.3181545
Clayton,148 ,5 ,34.2428643,-84.5984981
Bartow,147 ,4 ,34.2440988,-84.985769
Carroll,133 ,2 ,33.5865758,-85.1703404
Henry,108 ,2 ,33.4724802,-84.2785358
Lee,100 ,7 ,31.7689938,-84.2706385
Cherokee,92 ,4 ,33.5005916,-84.4914783
Hall,72 ,0 ,34.3058696,-84.1192568
Floyd,71 ,2 ,34.2748096,-85.265634
Douglas,60 ,3 ,33.689703,-84.8846812
Clarke,54 ,7 ,33.9441951,-83.5292082
Rockdale,54 ,2 ,33.6558755,-84.1887723
Fayette,52 ,4 ,33.4036378,-84.6445108
Forsyth,51 ,1 ,34.1927884,-84.2323435
Houston,47 ,5 ,32.4870656,-83.9498473
Terrell,46 ,2 ,31.7941452,-84.5708394
Sumter,45 ,3 ,32.0771487,-84.2578416
Chatham,44 ,2 ,31.9710868,-81.351756
Coweta,44 ,2 ,33.3513219,-84.8962861
Early,41 ,1 ,31.3765383,-84.9587256
Richmond,41 ,1 ,33.3859619,-82.2310033
Mitchell,39 ,1 ,31.2498763,-84.2432471
Newton,36 ,0 ,33.5556431,-84.0049802
Paulding,33 ,0 ,33.9286041,-85.0268587
Tift,28 ,0 ,31.4620157,-83.6427911
Worth,28 ,1 ,31.5836698,-84.1213062
Columbia,27 ,0 ,33.5275606,-82.3756279
Lowndes,25 ,1 ,30.8276641,-83.5322856
Muscogee,25 ,0 ,32.4740307,-84.9775752
Bibb,24 ,1 ,32.8066395,-83.8313174
Colquitt,23 ,1 ,31.148152,-83.8272431
Crisp,21 ,0 ,31.9169717,-83.9254823
Barrow,20 ,2 ,34.0109181,-83.8433347
Glynn,20 ,0 ,31.2215288,-81.7627215
Gordon,20 ,1 ,34.509082,-85.0184651
Troup,20 ,1 ,33.0366656,-85.098747
Oconee,18 ,0 ,33.8320577,-83.6015497
Spalding,18 ,1 ,33.2655664,-84.4391162
Polk,16 ,0 ,33.9998606,-85.3123828
Thomas,15 ,0 ,30.8343417,-84.0114562
Whitfield,15 ,1 ,34.8017812,-85.1298821
Laurens,14 ,0 ,32.4502041,-82.9615426
Walton,14 ,0 ,33.7781427,-83.7941236
Ware,14 ,2 ,30.9258764,-82.652756
Dawson,11 ,0 ,34.4758874,-84.2918991
Dooly,11 ,0 ,32.1523132,-83.8192581
Jackson,11 ,0 ,34.1222725,-83.6498217
Bryan,10 ,1 ,31.9384847,-81.3366541
Calhoun,10 ,1 ,31.5374798,-84.6143248
Pierce,10 ,0 ,31.297628,-82.3323931
Butts,9 ,0 ,33.2876561,-84.008061
Coffee,9 ,0 ,31.5118862,-82.8942771
Decatur,9 ,0 ,30.9053732,-84.6063261
Meriwether,9 ,0 ,33.0359618,-84.7321711
Burke,8 ,0 ,33.0949232,-82.0493385
Greene,8 ,0 ,33.564243,-83.213461
Pickens,8 ,1 ,34.4435055,-84.4995419
Baldwin,7 ,1 ,33.0581947,-83.3767553
Lamar,7 ,0 ,33.0504451,-84.1869511
Liberty,7 ,0 ,31.8747992,-81.64466
Lumpkin,7 ,0 ,34.527836,-84.017919
Peach,7 ,1 ,32.5658912,-83.9996748
Bacon,6 ,0 ,31.5480169,-82.43403
Camden,6 ,0 ,30.9572853,-81.7273897
Effingham,6 ,0 ,32.3453413,-81.6139433
Fannin,6 ,0 ,34.8670726,-84.3366946
Haralson,6 ,0 ,33.8053808,-85.1845181
Monroe,6 ,0 ,33.0254067,-84.0551818
Murray,6 ,0 ,34.782174,-84.8306345
Seminole,6 ,0 ,31.0403778,-84.8968852
Upson,6 ,0 ,32.8670541,-84.3459853
Clay,5 ,0 ,31.5935371,-84.9543791
Franklin,5 ,0 ,34.3757117,-83.2478296
Harris,5 ,0 ,32.7873585,-84.9045071
Irwin,5 ,0 ,31.6042318,-83.2849291
Jones,5 ,0 ,32.9986012,-83.5811601
Lincoln,5 ,0 ,33.8105078,-82.5722137
Stephens,5 ,0 ,34.574081,-83.4216966
Turner,5 ,0 ,31.7097169,-83.7672869
Baker,4 ,1 ,31.3455552,-84.4812548
Catoosa,4 ,0 ,34.9113369,-85.1771685
Madison,4 ,1 ,34.1279503,-83.2381266
Mcduffie,4 ,1 ,33.4695855,-82.531416
Miller,4 ,0 ,31.1636817,-84.869848
Pulaski,4 ,0 ,32.2484974,-83.4608698
Randolph,4 ,0 ,31.7751648,-84.8872959
Toombs,4 ,0 ,32.1715359,-82.3339669
Warren,4 ,0 ,33.4064726,-82.682467
Washington,4 ,0 ,32.9842382,-82.8420655
Appling,3 ,0 ,31.7632088,-82.420582
Banks,3 ,0 ,34.3359133,-83.5336091
Ben Hill,3 ,0 ,31.7220409,-83.3197009
Berrien,3 ,0 ,31.2075802,-83.2828336
