county,cases,deaths,lat,lon,pop
Fulton,4280 ,210 ,33.8082405,-84.4345438,1041423
Dekalb,3513 ,111 ,33.7927093,-84.3270543,707089
Gwinnett,3420 ,125 ,33.9600231,-84.3181545,842046
Cobb,2878 ,151 ,33.9123906,-84.6972676,707442
Hall,2401 ,42 ,34.3058696,-84.1192568,185416
Dougherty,1778 ,143 ,31.5429887,-84.3597205,94501
Clayton,1188 ,44 ,33.5212021,-84.4283069,26588
Cherokee,857 ,31 ,33.5005916,-84.4914783,221315
Henry,659 ,21 ,33.4724802,-84.2785358,209053
Muscogee,576 ,17 ,32.4740307,-84.9775752,198413
Richmond,562 ,19 ,33.3859619,-82.2310033,202587
Douglas,518 ,24 ,33.689703,-84.8846812,133971
Carroll,510 ,24 ,33.5865758,-85.1703404,111580
Habersham,509 ,19 ,34.6086982,-83.5456091,43520
Forsyth,495 ,13 ,34.1927884,-84.2323435,187929
Chatham,475 ,23 ,31.9710868,-81.351756,276434
Sumter,459 ,41 ,32.0771487,-84.2578416,31554
Bartow,457 ,38 ,34.2440988,-84.985769,100661
Bibb,439 ,24 ,32.8066395,-83.8313174,156462
Colquitt,421 ,14 ,31.148152,-83.8272431,46137
Mitchell,406 ,32 ,31.2498763,-84.2432471,23144
Coweta,395 ,8 ,33.3513219,-84.8962861,130929
Lee,363 ,23 ,31.7689938,-84.2706385,28746
Houston,358 ,16 ,32.4870656,-83.9498473,146136
Newton,339 ,11 ,33.5556431,-84.0049802,101505
Baldwin,338 ,25 ,33.0581947,-83.3767553,46367
Thomas,326 ,31 ,30.8343417,-84.0114562,44724
Barrow,315 ,12 ,34.0109181,-83.8433347,70169
Whitfield,309 ,7 ,34.8017812,-85.1298821,103359
Paulding,302 ,11 ,33.9286041,-85.0268587,144800
Upson,279 ,33 ,32.8670541,-84.3459853,26630
Rockdale,276 ,9 ,33.6558755,-84.1887723,85820
Troup,268 ,10 ,33.0366656,-85.098747,68468
Lowndes,263 ,4 ,30.8276641,-83.5322856,114552
Coffee,262 ,13 ,31.5118862,-82.8942771,43170
Spalding,262 ,19 ,33.2655664,-84.4391162,63865
Clarke,259 ,13 ,33.9441951,-83.5292082,120266
Floyd,250 ,15 ,34.2748096,-85.265634,96177
Early,237 ,30 ,31.3765383,-84.9587256,10594
Columbia,235 ,7 ,33.5275606,-82.3756279,131627
Fayette,235 ,13 ,33.4036378,-84.6445108,107524
Tift,235 ,15 ,31.4620157,-83.6427911,41064
Walton,228 ,12 ,33.7781427,-83.7941236,84575
Crisp,225 ,7 ,31.9169717,-83.9254823,23606
Ware,223 ,14 ,30.9258764,-82.652756,35821
Butts,215 ,21 ,33.2876561,-84.008061,23524
Terrell,214 ,26 ,31.7941452,-84.5708394,9045
Worth,211 ,20 ,31.5836698,-84.1213062,21741
Hancock,194 ,22 ,33.2769957,-82.9894837,8996
Dooly,176 ,12 ,32.1523132,-83.8192581,14318
Randolph,176 ,19 ,31.7751648,-84.8872959,7327
Jackson,162 ,5 ,34.1222725,-83.6498217,60571
Decatur,160 ,4 ,30.9053732,-84.6063261,27509
Gilmer,146 ,0 ,34.6879469,-84.5081626,28190
Gordon,140 ,15 ,34.509082,-85.0184651,55766
Appling,139 ,13 ,31.7632088,-82.420582,18368
Calhoun,131 ,5 ,31.5374798,-84.6143248,6504
Stephens,131 ,2 ,34.574081,-83.4216966,25891
Burke,122 ,5 ,33.0949232,-82.0493385,23125
Monroe,119 ,8 ,33.0254067,-84.0551818,26637
Catoosa,114 ,0 ,34.9113369,-85.1771685,65046
Oconee,109 ,5 ,33.8320577,-83.6015497,33619
Dawson,107 ,1 ,34.4758874,-84.2918991,22422
Turner,107 ,12 ,31.7097169,-83.7672869,8410
Walker,106 ,0 ,34.7120415,-85.3161595,68094
Laurens,105 ,1 ,32.4502041,-82.9615426,48041
Wilcox,105 ,13 ,31.9484553,-83.4767476,9068
Polk,103 ,1 ,33.9998606,-85.3123828,41188
Glynn,102 ,1 ,31.2215288,-81.7627215,81022
Echols,99 ,0 ,30.7421557,-82.9272262,3988
Macon,99 ,6 ,32.3019958,-84.0433236,14623
White,97 ,3 ,34.6411092,-83.7623648,27556
Grady,94 ,4 ,30.8768572,-84.2385266,25440
Lumpkin,92 ,1 ,34.527836,-84.017919,30611
Pierce,92 ,3 ,31.297628,-82.3323931,18844
Putnam,88 ,8 ,33.3256731,-83.4237009,21198
Harris,86 ,4 ,32.7873585,-84.9045071,32550
Banks,83 ,0 ,34.3359133,-83.5336091,18316
Bacon,82 ,2 ,31.5480169,-82.43403,11198
Johnson,82 ,2 ,32.692117,-82.6858691,9897
Murray,82 ,1 ,34.782174,-84.8306345,39392
Meriwether,78 ,2 ,33.0359618,-84.7321711,21273
Bryan,75 ,5 ,31.9384847,-81.3366541,32214
Effingham,75 ,1 ,32.3453413,-81.6139433,53293
Elbert,73 ,0 ,34.103443,-82.9103666,19684
Washington,73 ,1 ,32.9842382,-82.8420655,20879
Liberty,70 ,0 ,31.8747992,-81.64466,65471
Peach,70 ,3 ,32.5658912,-83.9996748,27622
Brooks,68 ,9 ,30.8201276,-83.6967418,15403
Ben Hill,67 ,1 ,31.7220409,-83.3197009,17538
Wilkinson,67 ,4 ,32.8107172,-83.1912456,9577
Greene,66 ,7 ,33.564243,-83.213461,16092
Mcduffie,65 ,5 ,33.4695855,-82.531416,21663
Lamar,60 ,1 ,33.0504451,-84.1869511,18057
Oglethorpe,58 ,6 ,33.8707055,-83.1174137,14618
Clinch,57 ,2 ,31.0413982,-82.770748,6718
Camden,56 ,1 ,30.9572853,-81.7273897,51402
Toombs,54 ,4 ,32.1715359,-82.3339669,27315
Bulloch,53 ,2 ,32.436937,-81.839803,72694
Pike,53 ,2 ,32.0655552,-82.2023614,17810
Marion,51 ,2 ,32.3200167,-84.535096,8711
Brantley,50 ,2 ,31.2089482,-81.9996745,18587
Dodge,50 ,2 ,32.1889054,-83.2835786,21329
Cook,46 ,2 ,31.1675224,-83.4587171,16923
Stewart,46 ,0 ,32.0439972,-84.8137031,6042
Madison,44 ,1 ,34.1279503,-83.2381266,27922
Pickens,43 ,3 ,34.4435055,-84.4995419,29268
Seminole,43 ,2 ,31.0403778,-84.8968852,8947
Union,43 ,1 ,34.8131442,-83.9486638,21451
Bleckley,42 ,0 ,32.4450373,-83.3216414,12913
Fannin,40 ,1 ,34.8670726,-84.3366946,23492
Haralson,40 ,2 ,33.8053808,-85.1845181,28400
Miller,40 ,0 ,31.1636817,-84.869848,5969
Franklin,39 ,1 ,34.3757117,-83.2478296,21894
Pulaski,39 ,2 ,32.2484974,-83.4608698,11720
Atkinson,38 ,2 ,31.2975054,-82.8710331,8284
Berrien,38 ,0 ,31.2075802,-83.2828336,19041
Clay,37 ,2 ,31.5935371,-84.9543791,3116
Morgan,37 ,0 ,33.5806701,-83.5120246,17881
Talbot,37 ,1 ,32.6773334,-84.5580366,6517
Baker,35 ,2 ,31.3455552,-84.4812548,3366
Jeff Davis,35 ,1 ,31.8121297,-82.6602823,15156
Jones,34 ,0 ,32.9986012,-83.5811601,28577
Screven,34 ,2 ,32.7510527,-81.656462,14202
Telfair,34 ,1 ,31.9351788,-82.9480671,16349
Charlton,33 ,1 ,30.7152281,-82.4366806,13295
Wilkes,33 ,1 ,33.7637416,-82.8687134,10076
Jasper,32 ,1 ,33.3069437,-83.7069025,13630
