county,cases,deaths,lat,lon,pop
Fulton,3767 ,172 ,33.8082405,-84.4345438,1041423
Dekalb,2881 ,87 ,33.7927093,-84.3270543,707089
Gwinnett,2759 ,113 ,33.9600231,-84.3181545,842046
Cobb,2468 ,133 ,33.9123906,-84.6972676,707442
Hall,2188 ,42 ,34.3058696,-84.1192568,185416
Dougherty,1667 ,139 ,31.5429887,-84.3597205,94501
Clayton,1011 ,38 ,33.5212021,-84.4283069,26588
Cherokee,739 ,26 ,33.5005916,-84.4914783,221315
Henry,629 ,19 ,33.4724802,-84.2785358,209053
Richmond,494 ,17 ,33.3859619,-82.2310033,202587
Habersham,457 ,14 ,34.6086982,-83.5456091,43520
Muscogee,445 ,16 ,32.4740307,-84.9775752,198413
Douglas,441 ,18 ,33.689703,-84.8846812,133971
Sumter,420 ,39 ,32.0771487,-84.2578416,31554
Carroll,417 ,22 ,33.5865758,-85.1703404,111580
Bibb,408 ,18 ,32.8066395,-83.8313174,156462
Bartow,405 ,35 ,34.2440988,-84.985769,100661
Forsyth,405 ,11 ,34.1927884,-84.2323435,187929
Mitchell,391 ,32 ,31.2498763,-84.2432471,23144
Chatham,371 ,14 ,31.9710868,-81.351756,276434
Lee,343 ,23 ,31.7689938,-84.2706385,28746
Houston,323 ,16 ,32.4870656,-83.9498473,146136
Baldwin,291 ,14 ,33.0581947,-83.3767553,46367
Thomas,288 ,30 ,30.8343417,-84.0114562,44724
Coweta,287 ,4 ,33.3513219,-84.8962861,130929
Barrow,265 ,8 ,34.0109181,-83.8433347,70169
Newton,265 ,10 ,33.5556431,-84.0049802,101505
Upson,263 ,31 ,32.8670541,-84.3459853,26630
Colquitt,256 ,11 ,31.148152,-83.8272431,46137
Rockdale,251 ,8 ,33.6558755,-84.1887723,85820
Spalding,243 ,14 ,33.2655664,-84.4391162,63865
Paulding,242 ,10 ,33.9286041,-85.0268587,144800
Early,231 ,28 ,31.3765383,-84.9587256,10594
Columbia,212 ,6 ,33.5275606,-82.3756279,131627
Fayette,211 ,11 ,33.4036378,-84.6445108,107524
Troup,208 ,6 ,33.0366656,-85.098747,68468
Lowndes,207 ,5 ,30.8276641,-83.5322856,114552
Coffee,202 ,12 ,31.5118862,-82.8942771,43170
Clarke,200 ,13 ,33.9441951,-83.5292082,120266
Crisp,200 ,7 ,31.9169717,-83.9254823,23606
Butts,199 ,16 ,33.2876561,-84.008061,23524
Terrell,199 ,24 ,31.7941452,-84.5708394,9045
Worth,197 ,17 ,31.5836698,-84.1213062,21741
Whitfield,193 ,7 ,34.8017812,-85.1298821,103359
Floyd,187 ,13 ,34.2748096,-85.265634,96177
Tift,185 ,14 ,31.4620157,-83.6427911,41064
Ware,176 ,13 ,30.9258764,-82.652756,35821
Hancock,170 ,5 ,33.2769957,-82.9894837,8996
Randolph,169 ,21 ,31.7751648,-84.8872959,7327
Walton,166 ,9 ,33.7781427,-83.7941236,84575
Dooly,162 ,12 ,32.1523132,-83.8192581,14318
Jackson,134 ,3 ,34.1222725,-83.6498217,60571
Decatur,129 ,4 ,30.9053732,-84.6063261,27509
Gordon,129 ,15 ,34.509082,-85.0184651,55766
Calhoun,122 ,6 ,31.5374798,-84.6143248,6504
Burke,116 ,4 ,33.0949232,-82.0493385,23125
Appling,113 ,11 ,31.7632088,-82.420582,18368
Stephens,113 ,2 ,34.574081,-83.4216966,25891
Gilmer,112 ,0 ,34.6879469,-84.5081626,28190
Monroe,100 ,7 ,33.0254067,-84.0551818,26637
Laurens,98 ,1 ,32.4502041,-82.9615426,48041
Wilcox,97 ,12 ,31.9484553,-83.4767476,9068
Macon,93 ,6 ,32.3019958,-84.0433236,14623
Grady,92 ,4 ,30.8768572,-84.2385266,25440
White,87 ,3 ,34.6411092,-83.7623648,27556
Dawson,84 ,1 ,34.4758874,-84.2918991,22422
Turner,84 ,12 ,31.7097169,-83.7672869,8410
Lumpkin,83 ,1 ,34.527836,-84.017919,30611
Johnson,82 ,2 ,32.692117,-82.6858691,9897
Oconee,81 ,3 ,33.8320577,-83.6015497,33619
Polk,80 ,0 ,33.9998606,-85.3123828,41188
Putnam,80 ,7 ,33.3256731,-83.4237009,21198
Glynn,78 ,1 ,31.2215288,-81.7627215,81022
Pierce,77 ,4 ,31.297628,-82.3323931,18844
Harris,75 ,3 ,32.7873585,-84.9045071,32550
Walker,74 ,0 ,34.7120415,-85.3161595,68094
Catoosa,72 ,0 ,34.9113369,-85.1771685,65046
Meriwether,70 ,1 ,33.0359618,-84.7321711,21273
Bacon,69 ,2 ,31.5480169,-82.43403,11198
Elbert,69 ,0 ,34.103443,-82.9103666,19684
Peach,69 ,3 ,32.5658912,-83.9996748,27622
Washington,67 ,1 ,32.9842382,-82.8420655,20879
Brooks,66 ,9 ,30.8201276,-83.6967418,15403
Bryan,66 ,5 ,31.9384847,-81.3366541,32214
Murray,62 ,1 ,34.782174,-84.8306345,39392
Greene,60 ,7 ,33.564243,-83.213461,16092
Oglethorpe,56 ,4 ,33.8707055,-83.1174137,14618
Mcduffie,55 ,5 ,33.4695855,-82.531416,21663
Camden,51 ,1 ,30.9572853,-81.7273897,51402
Ben Hill,48 ,1 ,31.7220409,-83.3197009,17538
Liberty,47 ,0 ,31.8747992,-81.64466,65471
Marion,47 ,2 ,32.3200167,-84.535096,8711
Effingham,46 ,1 ,32.3453413,-81.6139433,53293
Toombs,46 ,4 ,32.1715359,-82.3339669,27315
Wilkinson,46 ,3 ,32.8107172,-83.1912456,9577
Bulloch,45 ,2 ,32.436937,-81.839803,72694
Banks,44 ,0 ,34.3359133,-83.5336091,18316
Dodge,44 ,2 ,32.1889054,-83.2835786,21329
Pike,44 ,2 ,32.0655552,-82.2023614,17810
Brantley,43 ,2 ,31.2089482,-81.9996745,18587
Clinch,43 ,1 ,31.0413982,-82.770748,6718
Lamar,42 ,1 ,33.0504451,-84.1869511,18057
Seminole,40 ,2 ,31.0403778,-84.8968852,8947
Stewart,40 ,0 ,32.0439972,-84.8137031,6042
Fannin,38 ,1 ,34.8670726,-84.3366946,23492
Pickens,38 ,3 ,34.4435055,-84.4995419,29268
Union,37 ,1 ,34.8131442,-83.9486638,21451
Miller,36 ,0 ,31.1636817,-84.869848,5969
Pulaski,36 ,2 ,32.2484974,-83.4608698,11720
Haralson,35 ,2 ,33.8053808,-85.1845181,28400
Bleckley,34 ,0 ,32.4450373,-83.3216414,12913
Morgan,34 ,0 ,33.5806701,-83.5120246,17881
Franklin,33 ,1 ,34.3757117,-83.2478296,21894
Baker,32 ,2 ,31.3455552,-84.4812548,3366
Cook,31 ,2 ,31.1675224,-83.4587171,16923
Jones,31 ,0 ,32.9986012,-83.5811601,28577
