county,deaths,lat,lon
Appling,0,30.9053732,-84.6063261
Baker,1,31.3455552,-84.4812548
Baldwin,0,33.0581947,-83.3767553
Barrow,1,34.0109181,-83.8433347
Bartow,1,34.2440988,-84.985769
Ben Hill,0,31.7220409,-83.3197009
Bibb,0,32.8066395,-83.8313174
Bryan,0,31.9384847,-81.3366541
Burke,0,33.0949232,-82.0493385
Butts,0,33.2876561,-84.008061
Calhoun,0,31.5374798,-84.6143248
Camden,0,30.9572853,-81.7273897
Carroll,0,33.5865758,-85.1703404
Catoosa,0,34.9113369,-85.1771685
Charlton,0,30.7152281,-82.4366806
Chatham,0,31.9710868,-81.351756
Chattooga,0,34.4742654,-85.3830821
Cherokee,1,34.2428643,-84.5984981
Clarke,2,33.9441951,-83.5292082
Clayton,1,33.5005916,-84.4914783
Clinch,0,31.0413982,-82.770748
Cobb,5,33.9123906,-84.6972676
Coffee,0,31.5118862,-82.8942771
Colquitt,0,31.148152,-83.8272431
Columbia,0,33.5275606,-82.3756279
Coweta,2,33.3513219,-84.8962861
Crisp,0,31.9169717,-83.9254823
Dawson,0,34.4758874,-84.2918991
Decatur,0,30.9053732,-84.6063261
Dekalb,2,33.7927093,-84.3270543
Dodge,0,32.1889054,-83.2835786
Dougherty,13,31.5429887,-84.3597205
Douglas,1,33.689703,-84.8846812
Early,1,31.3765383,-84.9587256
Effingham,0,32.3453413,-81.6139433
Fannin,0,34.8670726,-84.3366946
Fayette,2,33.4036378,-84.6445108
Floyd,1,34.2748096,-85.265634
Forsyth,1,34.1927884,-84.2323435
Franklin,0,34.3757117,-83.2478296
Fulton,12,33.8109499,-84.7310481
Glynn,0,31.2215288,-81.7627215
Gordon,1,34.509082,-85.0184651
Greene,0,33.564243,-83.213461
Gwinnett,1,33.9600231,-84.3181545
Habersham,0,34.6086982,-83.5456091
Hall,0,34.3058696,-84.1192568
Haralson,0,33.8053808,-85.1845181
Harris,0,32.7873585,-84.9045071
Hart,0,34.3556591,-82.996122
Heard,1,33.2791778,-85.1161361
Henry,1,33.4724802,-84.2785358
Houston,1,32.4870656,-83.9498473
Irwin,0,31.6042318,-83.2849291
Jackson,0,34.1222725,-83.6498217
Jasper,0,33.3069437,-83.7069025
Jones,0,32.9986012,-83.5811601
Lamar,0,33.0504451,-84.1869511
Laurens,0,32.4312068,-83.2100234
Lee,5,31.7689938,-84.2706385
Liberty,0,31.8747992,-81.64466
Lincoln,0,33.8105078,-82.5722137
Long,0,31.7764678,-82.0169041
Lowndes,1,30.8276641,-83.5322856
Lumpkin,0,34.527836,-84.017919
Macon,0,32.3019958,-84.0433236
Madison,0,34.1279503,-83.2381266
Mcduffie,0,33.4695855,-82.531416
Meriwether,0,33.0359618,-84.7321711
Miller,0,31.1636817,-84.869848
Mitchell,0,31.2498763,-84.2432471
Monroe,0,33.0254067,-84.0551818
Morgan,0,33.5806701,-83.5120246
Muscogee,0,32.4740307,-84.9775752
Newton,0,33.5556431,-84.0049802
Oconee,0,33.8320577,-83.6015497
Paulding,0,33.9286041,-85.0268587
Peach,0,32.5658912,-83.9996748
Pickens,1,34.4435055,-84.4995419
Pierce,0,31.297628,-82.3323931
Polk,0,33.9998606,-85.3123828
Pulaski,0,32.2484974,-83.4608698
Randolph,0,31.7751648,-84.8872959
Richmond,0,33.3859619,-82.2310033
Rockdale,1,33.6558755,-84.1887723
Seminole,0,31.0403778,-84.8968852
Spalding,0,33.2655664,-84.4391162
Stephens,0,34.574081,-83.4216966
Sumter,0,32.0771487,-84.2578416
Tattnall,0,32.0655552,-82.2023614
Taylor,0,32.5592902,-84.3821397
Telfair,0,31.9351788,-82.9480671
Terrell,2,31.7941452,-84.5708394
Thomas,0,30.8343417,-84.0114562
Tift,0,31.4620157,-83.6427911
Toombs,0,32.1715359,-82.3339669
Troup,1,33.0366656,-85.098747
Turner,0,31.7097169,-83.7672869
Twiggs,0,32.6867147,-83.3595676
Unknown,1,31.472484,-81.027239
Upson,0,32.8670541,-84.3459853
Walton,0,33.7781427,-83.7941236
Ware,0,30.9258764,-82.652756
Washington,0,32.9842382,-82.8420655
White,0,34.6411092,-83.7623648
Whitfield,0,34.8017812,-85.1298821
Wilkes,0,33.7637416,-82.8687134
Worth,1,31.5836698,-84.1213062
Chattahoochee,0,32.3778761,-84.9477857
